lengthRequestLine;lengthMethodGETorPOST;lengthPath;lengthArguments;lengthHost;lengthUserAgent;lengthAccept;lengthReferer;lengthAcceptEncoding;lengthAcceptLanguage;lengthCookie;lengthContentLength;lengthContentType;lengthofDgtinPath;lengthofLtrinPath;lengthofSpcharinPath;lengthofDgtinArguments;lengthofLtrinArguments;lengthofSpcharinArguments;Label
63;3;27;22;14;101;85;48;13;14;50;4;23;0;23;4;0;19;3;1
327;3;27;286;14;101;85;48;13;14;50;4;23;0;23;4;76;150;60;1
63;3;27;22;14;101;85;48;13;14;50;4;23;0;23;4;0;19;3;1
62;3;27;21;14;101;85;48;13;14;50;4;23;0;23;4;4;14;3;1
85;3;27;44;14;101;85;48;13;14;50;3;24;0;23;4;11;20;13;1
90;3;27;49;14;101;85;48;13;14;50;3;24;0;23;4;8;33;8;1
121;3;27;80;14;101;85;48;13;14;50;3;24;0;23;4;30;35;15;1
121;3;27;80;14;101;85;48;13;14;50;3;24;0;23;4;30;35;15;1
115;3;27;74;14;101;85;48;13;14;50;4;23;0;23;4;26;35;13;1
115;3;27;74;14;101;85;48;13;14;50;4;23;0;23;4;26;35;13;1
109;3;27;68;14;101;85;48;13;14;50;4;23;0;23;4;30;27;11;1
109;3;27;68;14;101;85;48;13;14;50;4;23;0;23;4;30;27;11;1
83;3;27;42;14;101;85;48;13;14;50;4;23;0;23;4;13;23;6;1
83;3;27;42;14;101;85;48;13;14;50;4;23;0;23;4;13;23;6;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;15;27;9;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;15;27;9;1
191;3;27;150;14;101;85;48;13;14;50;4;23;0;23;4;68;58;24;1
191;3;27;150;14;101;85;48;13;14;50;4;23;0;23;4;68;58;24;1
92;3;27;51;14;101;85;48;13;14;50;3;24;0;23;4;19;23;9;1
92;3;27;51;14;101;85;48;13;14;50;3;24;0;23;4;19;23;9;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
95;3;27;54;14;101;85;48;13;14;50;3;24;0;23;4;21;23;10;1
95;3;27;54;14;101;85;48;13;14;50;3;24;0;23;4;21;23;10;1
98;3;27;57;14;101;85;48;13;14;50;3;24;0;23;4;23;23;11;1
98;3;27;57;14;101;85;48;13;14;50;3;24;0;23;4;23;23;11;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;19;23;9;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;19;23;9;1
95;3;27;54;14;101;85;48;13;14;50;4;23;0;23;4;21;23;10;1
95;3;27;54;14;101;85;48;13;14;50;4;23;0;23;4;21;23;10;1
98;3;27;57;14;101;85;48;13;14;50;4;23;0;23;4;23;23;11;1
98;3;27;57;14;101;85;48;13;14;50;4;23;0;23;4;23;23;11;1
129;3;27;88;14;101;85;48;13;14;50;3;24;0;23;4;38;35;15;1
129;3;27;88;14;101;85;48;13;14;50;3;24;0;23;4;38;35;15;1
129;3;27;88;14;101;85;48;13;14;50;4;23;0;23;4;38;35;15;1
129;3;27;88;14;101;85;48;13;14;50;4;23;0;23;4;38;35;15;1
126;3;27;85;14;101;85;48;13;14;50;3;24;0;23;4;36;35;14;1
126;3;27;85;14;101;85;48;13;14;50;3;24;0;23;4;36;35;14;1
126;3;27;85;14;101;85;48;13;14;50;4;23;0;23;4;36;35;14;1
126;3;27;85;14;101;85;48;13;14;50;4;23;0;23;4;36;35;14;1
114;3;27;73;14;101;85;48;13;14;50;3;24;0;23;4;25;36;12;1
114;3;27;73;14;101;85;48;13;14;50;3;24;0;23;4;25;36;12;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
89;3;27;48;14;101;85;48;13;14;50;4;23;0;23;4;17;23;8;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;19;23;9;1
92;3;27;51;14;101;85;48;13;14;50;4;23;0;23;4;19;23;9;1
95;3;27;54;14;101;85;48;13;14;50;4;23;0;23;4;21;23;10;1
95;3;27;54;14;101;85;48;13;14;50;4;23;0;23;4;21;23;10;1
86;3;27;45;14;101;85;48;13;14;50;4;23;0;23;4;15;23;7;1
86;3;27;45;14;101;85;48;13;14;50;4;23;0;23;4;15;23;7;1
126;3;27;85;14;101;85;48;13;14;50;4;23;0;23;4;36;35;14;1
126;3;27;85;14;101;85;48;13;14;50;4;23;0;23;4;36;35;14;1
123;3;27;82;14;101;85;48;13;14;50;4;23;0;23;4;34;35;13;1
123;3;27;82;14;101;85;48;13;14;50;4;23;0;23;4;34;35;13;1
111;3;27;70;14;101;85;48;13;14;50;4;23;0;23;4;30;29;11;1
111;3;27;70;14;101;85;48;13;14;50;4;23;0;23;4;30;29;11;1
114;3;27;73;14;101;85;48;13;14;50;4;23;0;23;4;32;29;12;1
114;3;27;73;14;101;85;48;13;14;50;4;23;0;23;4;32;29;12;1
63;3;27;22;14;101;85;48;13;14;50;4;23;0;23;4;4;14;4;1
91;3;27;50;14;101;85;48;13;14;50;3;24;0;23;4;23;17;10;1
91;3;27;50;14;101;85;48;13;14;50;3;24;0;23;4;23;17;10;1
88;3;27;47;14;101;85;48;13;14;50;4;23;0;23;4;21;17;9;1
88;3;27;47;14;101;85;48;13;14;50;4;23;0;23;4;21;17;9;1
88;3;27;47;14;101;85;48;13;14;50;4;23;0;23;4;21;17;9;1
82;3;27;41;14;101;85;48;13;14;50;3;24;0;23;4;10;24;7;1
88;3;27;47;14;101;85;48;13;14;50;4;23;0;23;4;21;17;9;1
88;3;27;47;14;101;85;48;13;14;50;4;23;0;23;4;21;17;9;1
94;3;27;53;14;101;85;48;13;14;50;3;24;0;23;4;25;17;11;1
94;3;27;53;14;101;85;48;13;14;50;3;24;0;23;4;25;17;11;1
97;3;27;56;14;101;85;48;13;14;50;3;24;0;23;4;27;17;12;1
97;3;27;56;14;101;85;48;13;14;50;3;24;0;23;4;27;17;12;1
91;3;27;50;14;101;85;48;13;14;50;4;23;0;23;4;23;17;10;1
91;3;27;50;14;101;85;48;13;14;50;4;23;0;23;4;23;17;10;1
94;3;27;53;14;101;85;48;13;14;50;4;23;0;23;4;25;17;11;1
94;3;27;53;14;101;85;48;13;14;50;4;23;0;23;4;25;17;11;1
97;3;27;56;14;101;85;48;13;14;50;4;23;0;23;4;27;17;12;1
97;3;27;56;14;101;85;48;13;14;50;4;23;0;23;4;27;17;12;1
128;3;27;87;14;101;85;48;13;14;50;3;24;0;23;4;42;29;16;1
128;3;27;87;14;101;85;48;13;14;50;3;24;0;23;4;42;29;16;1
128;3;27;87;14;101;85;48;13;14;50;4;23;0;23;4;42;29;16;1
128;3;27;87;14;101;85;48;13;14;50;4;23;0;23;4;42;29;16;1
125;3;27;84;14;101;85;48;13;14;50;3;24;0;23;4;40;29;15;1
125;3;27;84;14;101;85;48;13;14;50;3;24;0;23;4;40;29;15;1
125;3;27;84;14;101;85;48;13;14;50;4;23;0;23;4;40;29;15;1
125;3;27;84;14;101;85;48;13;14;50;4;23;0;23;4;40;29;15;1
88;3;27;47;14;101;85;48;13;14;50;4;23;0;23;4;21;17;9;1
88;3;27;47;14;101;85;48;13;14;50;4;23;0;23;4;21;17;9;1
91;3;27;50;14;101;85;48;13;14;50;4;23;0;23;4;23;17;10;1
91;3;27;50;14;101;85;48;13;14;50;4;23;0;23;4;23;17;10;1
94;3;27;53;14;101;85;48;13;14;50;4;23;0;23;4;25;17;11;1
94;3;27;53;14;101;85;48;13;14;50;4;23;0;23;4;25;17;11;1
85;3;27;44;14;101;85;48;13;14;50;4;23;0;23;4;19;17;8;1
85;3;27;44;14;101;85;48;13;14;50;4;23;0;23;4;19;17;8;1
125;3;27;84;14;101;85;48;13;14;50;4;23;0;23;4;40;29;15;1
125;3;27;84;14;101;85;48;13;14;50;4;23;0;23;4;40;29;15;1
122;3;27;81;14;101;85;48;13;14;50;4;23;0;23;4;38;29;14;1
122;3;27;81;14;101;85;48;13;14;50;4;23;0;23;4;38;29;14;1
97;3;27;56;14;101;85;48;13;14;50;3;24;0;23;4;21;25;10;1
53;3;25;14;14;101;85;63;13;14;57;4;23;0;21;4;1;11;2;0
55;3;25;16;14;101;85;61;13;14;57;4;23;0;21;4;0;14;2;0
42;3;29;0;14;101;85;63;13;14;57;4;23;0;25;4;0;0;0;0
43;4;29;0;14;101;85;50;13;14;57;4;23;0;25;4;0;0;0;0
43;3;30;0;14;101;85;50;13;14;57;4;23;0;26;4;0;0;0;0
44;4;30;0;14;101;85;51;13;14;57;4;23;0;26;4;0;0;0;0
40;3;27;0;14;101;85;51;13;14;57;4;23;0;23;4;0;0;0;0
102;3;27;61;14;101;85;48;13;14;57;4;23;0;23;4;18;37;6;0
46;3;33;0;14;101;85;110;13;14;57;4;23;0;28;5;0;0;0;0
108;3;33;61;14;101;85;54;13;14;57;4;23;0;28;5;21;34;6;0
43;3;30;0;14;101;85;116;13;14;57;4;23;0;25;5;0;0;0;0
44;4;30;0;14;101;85;51;13;14;57;4;23;0;25;5;0;0;0;0
41;3;28;0;14;101;85;51;13;14;57;4;23;0;23;5;0;0;0;0
57;3;28;15;14;101;85;49;13;14;57;4;23;0;23;5;0;14;1;0
56;3;28;14;14;101;85;65;13;14;57;4;23;0;23;5;0;13;1;0
57;3;28;15;14;101;85;64;13;14;57;4;23;0;23;5;0;14;1;0
56;3;28;14;14;101;85;65;13;14;57;4;23;0;23;5;0;13;1;0
41;3;28;0;14;101;85;64;13;14;57;4;23;0;23;5;0;0;0;0
104;3;28;62;14;101;85;49;13;14;57;4;23;0;23;5;22;36;4;0
41;3;28;0;14;101;85;112;13;14;57;4;23;0;23;5;0;0;0;0
42;4;28;0;14;101;85;49;13;14;57;4;23;0;23;5;0;0;0;0
42;4;28;0;14;101;85;49;13;14;57;4;23;0;23;5;0;0;0;0
39;3;26;0;14;101;85;49;13;14;57;4;23;0;22;4;0;0;0;0
59;3;46;0;14;101;3;47;13;14;57;3;22;0;40;6;0;0;0;0
66;3;53;0;14;101;3;47;13;14;57;2;31;0;46;7;0;0;0;0
46;3;33;0;14;101;85;47;13;14;57;4;23;0;29;4;0;0;0;0
31;3;18;0;14;101;85;36;13;14;57;4;23;0;15;3;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
39;3;26;0;14;101;39;39;13;14;57;3;9;0;21;5;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
32;4;18;0;14;101;85;39;13;14;57;1;24;0;15;3;0;0;0;0
31;3;18;0;14;101;85;39;13;14;57;4;23;0;15;3;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
32;4;18;0;14;101;85;39;13;14;57;1;24;0;15;3;0;0;0;0
31;3;18;0;14;101;85;39;13;14;51;4;23;0;15;3;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
32;4;18;0;14;101;85;39;13;14;51;1;24;0;15;3;0;0;0;0
31;3;18;0;14;101;85;39;13;14;53;4;23;0;15;3;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
32;4;18;0;14;101;85;39;13;14;53;1;24;0;15;3;0;0;0;0
31;3;18;0;14;101;85;39;13;14;50;4;23;0;15;3;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
41;3;18;9;14;101;85;39;13;14;50;1;24;0;15;3;0;8;1;0
31;3;18;0;14;101;85;39;13;14;50;4;23;0;15;3;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
42;3;18;10;14;101;85;39;13;14;50;2;24;0;15;3;0;9;1;0
31;3;18;0;14;101;85;39;13;14;50;4;23;0;15;3;0;0;0;0
44;3;31;0;14;101;3;39;13;14;36;3;29;0;25;6;0;0;0;0
85;3;18;53;14;101;85;39;13;14;50;4;23;0;15;3;7;35;11;0
44;3;31;0;14;101;3;93;13;14;36;3;29;0;25;6;0;0;0;0
30;3;17;0;14;101;85;93;13;14;50;4;23;0;13;4;0;0;0;0
44;3;31;0;14;101;3;38;13;14;36;3;29;0;25;6;0;0;0;0
50;3;17;19;14;101;85;38;13;14;50;1;24;0;13;4;0;16;3;0
30;3;17;0;14;101;85;38;13;14;50;4;23;0;13;4;0;0;0;0
44;3;31;0;14;101;3;38;13;14;36;3;29;0;25;6;0;0;0;0
30;3;17;0;14;101;85;38;13;14;50;5;24;0;14;3;0;0;0;0
28;3;15;0;14;101;85;38;13;14;50;4;23;0;12;3;0;0;0;0
44;3;31;0;14;101;3;36;13;14;36;3;29;0;25;6;0;0;0;0
29;3;16;0;14;101;85;36;13;14;50;1;24;0;13;3;0;0;0;0
28;3;15;0;14;101;85;36;13;14;50;3;23;0;12;3;0;0;0;0
77;3;37;26;14;101;85;54;13;14;50;4;23;0;32;5;0;23;3;0
38;3;25;0;14;101;18;85;13;14;50;3;8;0;20;5;0;0;0;0
75;3;35;26;14;101;85;54;13;14;50;4;23;0;30;5;0;23;3;0
36;3;23;0;14;101;18;83;13;14;50;3;8;0;18;5;0;0;0;0
28;3;15;0;14;101;85;36;13;14;57;3;23;0;12;3;0;0;0;0
29;4;15;0;14;101;85;36;13;14;57;1;24;0;12;3;0;0;0;0
28;3;15;0;14;101;85;36;13;14;57;4;23;0;12;3;0;0;0;0
44;3;31;0;14;101;3;36;13;14;36;3;29;0;25;6;0;0;0;0
19;3;6;0;14;101;85;36;13;14;57;4;23;0;4;2;0;0;0;0
44;3;31;0;14;101;3;27;13;14;36;3;29;0;25;6;0;0;0;0
35;3;22;0;14;101;85;27;13;14;57;4;23;0;19;3;0;0;0;0
44;3;31;0;14;101;3;43;13;14;36;3;29;0;25;6;0;0;0;0
46;3;22;10;14;101;85;43;13;14;57;4;23;0;19;3;0;9;1;0
44;3;31;0;14;101;3;54;13;14;36;3;29;0;25;6;0;0;0;0
43;3;22;7;14;101;85;54;13;14;57;4;23;0;19;3;0;6;1;0
44;3;31;0;14;101;3;51;13;14;36;3;29;0;25;6;0;0;0;0
49;3;22;13;14;101;85;51;13;14;57;4;23;0;19;3;0;12;1;0
44;3;31;0;14;101;3;57;13;14;36;3;29;0;25;6;0;0;0;0
47;3;22;11;14;101;85;57;13;14;57;5;23;0;19;3;0;10;1;0
44;3;31;0;14;101;3;55;13;14;36;3;29;0;25;6;0;0;0;0
54;3;22;18;14;101;85;55;13;14;57;4;23;0;19;3;0;16;2;0
44;3;31;0;14;101;3;62;13;14;36;3;29;0;25;6;0;0;0;0
28;3;15;0;14;101;85;62;13;14;57;4;23;0;12;3;0;0;0;0
44;3;31;0;14;101;3;36;13;14;36;3;29;0;25;6;0;0;0;0
42;3;29;0;14;101;39;36;13;14;57;3;9;0;24;5;0;0;0;0
41;3;28;0;14;101;85;36;13;14;57;4;23;0;24;4;0;0;0;0
50;3;37;0;14;101;3;49;13;14;57;3;22;0;29;8;0;0;0;0
42;4;28;0;14;101;85;49;13;14;57;4;23;0;24;4;0;0;0;0
40;3;27;0;14;101;85;49;13;14;57;4;23;0;23;4;0;0;0;0
41;4;27;0;14;101;85;48;13;14;57;4;23;0;23;4;0;0;0;0
40;3;27;0;14;101;85;48;13;14;57;4;23;0;23;4;0;0;0;0
145;3;27;104;14;101;85;48;13;14;57;4;23;0;23;4;16;75;13;0
55;3;25;16;14;101;85;153;13;14;57;4;23;0;21;4;0;14;2;0
53;3;25;14;14;101;85;63;13;14;57;4;23;0;21;4;1;11;2;0
55;3;25;16;14;101;85;61;13;14;57;4;23;0;21;4;0;14;2;0
53;3;25;14;14;101;85;63;13;14;57;4;23;0;21;4;1;11;2;0
55;3;25;16;14;101;85;61;13;14;57;4;23;0;21;4;0;14;2;0
36;3;23;0;12;68;18;47;13;14;57;4;8;0;18;5;0;0;0;0
